pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
37987335,The tympanic segment of the facial nerve is another area extremely vulnerable to inflammatory processes within the middle ear.,tympanic,facial nerve,structural connectivity,0.9973175525665283,http://www.ncbi.nlm.nih.gov/pubmed/37987335
PMC10665510,3.4 GE decreases the protein expression of 5-HT3A and 4 receptors in the nodose ganglion of the vagus nerve.,nodose ganglion,vagus nerve,anatomical connectivity,0.5103718638420105,http://www.ncbi.nlm.nih.gov/pubmed/PMC10665510
PMC10670589,"It can be found in 27.0–72.5% of crania according to ethnicity [18,19], and hosts the pterygovaginal artery (branch of the internal maxillary artery) and the pharyngeal nerve from the pterygopalatine ganglion to the pharyngeal orifice of the auditory tube [18].",pharyngeal nerve,pterygopalatine ganglion,structural connectivity,0.9912948608398438,http://www.ncbi.nlm.nih.gov/pubmed/PMC10670589
PMC10693057,"The maxillary nerve, as one of the second branches of the trigeminal nerve, plays a significant role in supplying sensory components to the nasal cavity and paranasal sinuses [32].",maxillary nerve,trigeminal nerve,structural connectivity,0.9941419363021851,http://www.ncbi.nlm.nih.gov/pubmed/PMC10693057
37989590,The vagal ganglion is composed of the anatomically distinct nodose ganglion and the jugular ganglion.,vagal ganglion,jugular ganglion,structural connectivity,0.5119361281394958,http://www.ncbi.nlm.nih.gov/pubmed/37989590
37989590,The vagal ganglion is composed of the anatomically distinct nodose ganglion and the jugular ganglion.,vagal ganglion,nodose ganglion,structural connectivity,0.8297600746154785,http://www.ncbi.nlm.nih.gov/pubmed/37989590
PMC10699330,"The intratemporal portion of the facial nerve branches into the greater petrosal nerve, the nerve to the stapedius muscle, and the chorda tympani nerve [9].",facial nerve,chorda tympani nerve,anatomical connectivity,0.9221484661102295,http://www.ncbi.nlm.nih.gov/pubmed/PMC10699330
38063626,"The three branches of the trigeminal nerve reunite at the Gasserian ganglion and, subsequently, reach the trigeminal nuclei in the brainstem.",trigeminal nerve,Gasserian ganglion,anatomical connectivity,0.9649813175201416,http://www.ncbi.nlm.nih.gov/pubmed/38063626
PMC10644746,"The facial nerve can now be divided into 5 intracranial segments (cisternal, intracanalicular, labyrinthine, tympanic, and mastoid) and one extracranial intraparotid segment.",facial nerve,tympanic,structural connectivity,0.7570122480392456,http://www.ncbi.nlm.nih.gov/pubmed/PMC10644746
37789621,Fine structures such as the tympanic portion of the facial nerve (Figure 5) as well as the superior semi-circular canal (Figure 6) are also identified with a high degree of accuracy including in coronal slices where the structure may only be a few pixels wide.,tympanic,facial nerve,structural connectivity,0.9692760109901428,http://www.ncbi.nlm.nih.gov/pubmed/37789621
PMC10652047,"The maxillary nerve is part of the trigeminal nerve and its largest cutaneous branch is the infraorbital nerve (5, 6, 7).",maxillary nerve,trigeminal nerve,structural connectivity,0.9987872242927551,http://www.ncbi.nlm.nih.gov/pubmed/PMC10652047
PMC10652049,The tympanic segment of the facial nerve showed inferomedial course in both of the cases.,tympanic,facial nerve,structural connectivity,0.9986739158630371,http://www.ncbi.nlm.nih.gov/pubmed/PMC10652049
PMC10652049,"In case A, exploratory tympanotomy verified the absence of the oval window and the stapes, dehiscence of the tympanic segment of the facial nerve, and the abnormal inferiomedial position of the facial nerve where the oval window should be on the lateral surface of the otic capsule (Figure 5).",tympanic,facial nerve,structural connectivity,0.9967528581619263,http://www.ncbi.nlm.nih.gov/pubmed/PMC10652049
36397347,The Vidian nerve is 10 to 18 mm long and leaves the pterygoid bone at the root of the pterygoid process along the lower wall of the pterygoid sinus and enters the pterygopalatine ganglion in the pterygopalatine fossa.,Vidian nerve,pterygopalatine ganglion,topological connectivity,0.9950799345970154,http://www.ncbi.nlm.nih.gov/pubmed/36397347
PMC10692657,"Induction or aggravation of sleep apnea is a known side effect of vagus nerve stimulation (VNS) [1], [2], [3], [4], [5] and is considered to be due to innervation of the left recurrent nerve and the superior laryngeal nerve which are both branches of the vagus nerve.",superior laryngeal nerve,vagus nerve,structural connectivity,0.9989408850669861,http://www.ncbi.nlm.nih.gov/pubmed/PMC10692657
38014247,"Cardiovagal neurons (CVNs) send axonal projections from hindbrain to cardiac ganglia through the vagus nerve to elicit cardioinhibitory (i.e., slowing of heart rate; HR) action at rest and during critical cardiorespiratory homeostatic reflexes.",cardiac ganglia,vagus nerve,anatomical connectivity,0.9976673722267151,http://www.ncbi.nlm.nih.gov/pubmed/38014247
