pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
37327260,"8] The parasympathetic nerve of the pterygoid canal nerve comes from the great petrosal nerve, a branch of the facial nerve, and the anterior ethmoidal nerve originates from the ophthalmic branch of the trigeminal nerve.",pterygoid canal nerve,facial nerve,structural connectivity,0.9884481430053711,http://www.ncbi.nlm.nih.gov/pubmed/37327260
37436058,"In women, the distal portion of the pudendal nerve divides into three terminal branches: the dorsal nerve of the clitoris, the perineal nerve that gives the posterior labia nerve, and the inferior rectal nerve that gives the rectal plexus.",pudendal nerve,dorsal nerve of the clitoris,structural connectivity,0.9840890765190125,http://www.ncbi.nlm.nih.gov/pubmed/37436058
37436058,"In women, the distal portion of the pudendal nerve divides into three terminal branches: the dorsal nerve of the clitoris, the perineal nerve that gives the posterior labia nerve, and the inferior rectal nerve that gives the rectal plexus.",pudendal nerve,perineal nerve,structural connectivity,0.9333222508430481,http://www.ncbi.nlm.nih.gov/pubmed/37436058
PMC10413872,"Theoretically, the glossopharyngeal nerve (cranial nerve IX) functions as a sensory function in the back 1/3 of the tongue, communicates with the vagus nerve, and constitutes sensory and motor nerves in the mucous membrane and muscles of the pharynx (3, 9, 14).",glossopharyngeal nerve,vagus nerve,anatomical connectivity,0.9989180564880371,http://www.ncbi.nlm.nih.gov/pubmed/PMC10413872
PMC10416636,"Specifically, efferent communication from the vagus nerve to the dorsal motor nucleus to the celiac ganglion may reduce peripheral cytokines through the CAIP.",vagus nerve,celiac ganglion,anatomical connectivity,0.9074544310569763,http://www.ncbi.nlm.nih.gov/pubmed/PMC10416636
PMC10416636,"The vagus nerve is the tenth cranial nerve, named for the Latin word meaning “wandering” due to its extensive afferent and efferent projections throughout the body.",vagus nerve,tenth cranial nerve,structural connectivity,0.6857040524482727,http://www.ncbi.nlm.nih.gov/pubmed/PMC10416636
37557034,3The glossopharyngeal nerve emerges from the cranial part of the medulla and leaves as 3 or 4 roots in the groove between the olive and the inferior cerebellar peduncle directly superior to the vagus nerve.,glossopharyngeal nerve,vagus nerve,topological connectivity,0.8259202241897583,http://www.ncbi.nlm.nih.gov/pubmed/37557034
PMC10428081,"Then, the facial nerve is mobilized along its entire mastoid and tympanic course up to the geniculate ganglion (long anterior rerouting technique).",facial nerve,tympanic,topological connectivity,0.663078248500824,http://www.ncbi.nlm.nih.gov/pubmed/PMC10428081
PMC10452234,It is the largest parasympathetic ganglion associated with branches of the maxillary nerve close to the sphenopalatine foramen [48].,parasympathetic ganglion,maxillary nerve,structural connectivity,0.9974849224090576,http://www.ncbi.nlm.nih.gov/pubmed/PMC10452234
PMC10452234,The maxillary nerve exits the skull base through the foramen rotundum and divides into branches to the pterygopalatine ganglion and then across the pterygopalatine fossa.,maxillary nerve,pterygopalatine ganglion,structural connectivity,0.6349968314170837,http://www.ncbi.nlm.nih.gov/pubmed/PMC10452234
PMC10452234,Peripheral interventions involve blocking or destroying a portion of the trigeminal nerve distal to the Gasserian ganglion [19] (Figure 4).,trigeminal nerve,Gasserian ganglion,topological connectivity,0.523717999458313,http://www.ncbi.nlm.nih.gov/pubmed/PMC10452234
37631049,"Meanwhile, the submandibular ganglion, positioned within the submandibular gland (SMG) and near the lingual nerve, hosts the cell bodies of parasympathetic fibers that supply the SMG and sublingual gland (SLG), including their myoepithelial cells.",submandibular ganglion,lingual nerve,topological connectivity,0.9721472859382629,http://www.ncbi.nlm.nih.gov/pubmed/37631049
PMC10411147,"The rootlets of the vagus nerve run caudally to the glossopharyngeal nerve, coursing ventrally to the choroid plexus of the foramen of Luschka, and entering the JF posteriorly to the glossopharyngeal nerve in conjunction with the cranial component of the spinal accessory nerve.",vagus nerve,glossopharyngeal nerve,topological connectivity,0.9874035120010376,http://www.ncbi.nlm.nih.gov/pubmed/PMC10411147
PMC10411147,"The rootlets of the vagus nerve run caudally to the glossopharyngeal nerve, coursing ventrally to the choroid plexus of the foramen of Luschka, and entering the JF posteriorly to the glossopharyngeal nerve in conjunction with the cranial component of the spinal accessory nerve.",vagus nerve,glossopharyngeal nerve,topological connectivity,0.9861144423484802,http://www.ncbi.nlm.nih.gov/pubmed/PMC10411147
PMC10411147,"After radical mastoidectomy, the dura of the middle and posterior cranial fossae is visible along with the middle ear, the semi-circular canals, and the facial nerve in its tympanic and mastoid parts.",facial nerve,tympanic,topological connectivity,0.4427427053451538,http://www.ncbi.nlm.nih.gov/pubmed/PMC10411147
PMC10411173,"Thereafter, the drilling was performed judiciously in the posteroinferior part as the facial nerve runs lateral to the tympanic annulus in this region.",facial nerve,tympanic,topological connectivity,0.9867727756500244,http://www.ncbi.nlm.nih.gov/pubmed/PMC10411173
PMC10446277,"Thus, damage to the vagal nerve proximal to the branch point of the superior laryngeal nerve results in more severe swallowing disorder due to impairment of sensation and motion in the larynx.",vagal nerve,superior laryngeal nerve,topological connectivity,0.9148826003074646,http://www.ncbi.nlm.nih.gov/pubmed/PMC10446277
PMC10450574,Parts of the tympanic segment of the facial nerve and tendon of the m.,tympanic,facial nerve,structural connectivity,0.9907283782958984,http://www.ncbi.nlm.nih.gov/pubmed/PMC10450574
