pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
38226093,The lingual nerve was located and traced to its origin from the otic ganglion.,lingual nerve,otic ganglion,topological connectivity,0.8602999448776245,http://www.ncbi.nlm.nih.gov/pubmed/38226093
38229807,"With tiny salivary glands, fat, and fibrous connective tissue, the nasopalatine canal also houses the nasopalatine nerve, the terminal branch of the descending nasopalatine artery.",nasopalatine nerve,nasopalatine,structural connectivity,0.997014582157135,http://www.ncbi.nlm.nih.gov/pubmed/38229807
38229807,"With tiny salivary glands, fat, and fibrous connective tissue, the nasopalatine canal also houses the nasopalatine nerve, the terminal branch of the descending nasopalatine artery.",nasopalatine,nasopalatine nerve,anatomical connectivity,0.9965183734893799,http://www.ncbi.nlm.nih.gov/pubmed/38229807
38201400,"Moreover, the test is used to evaluate both the nerve pathway from the trigeminal nerve to the lacrimal nerve, as well as the function of the lacrimal gland [35].",trigeminal nerve,lacrimal nerve,anatomical connectivity,0.9251529574394226,http://www.ncbi.nlm.nih.gov/pubmed/38201400
PMC10798166,"The tympanic segment of the facial nerve is most commonly supplied by the petrosal artery, which arises from the middle meningeal artery after passing through the foramen spinosum.",tympanic,facial nerve,structural connectivity,0.998328685760498,http://www.ncbi.nlm.nih.gov/pubmed/PMC10798166
PMC10798166,"Intense contrast enhancement surrounding the tympanic segment of the facial nerve was noted on gadolinium-enhanced spin echo based T1-weighted images, indicating congestion of the venous plexus surrounding the embedded facial nerve (Figure 1B).",tympanic,facial nerve,structural connectivity,0.9934754967689514,http://www.ncbi.nlm.nih.gov/pubmed/PMC10798166
PMC10798166,"In normal physiology, the middle meningeal vein plays an important role in the venous drainage of the tympanic segment of the facial nerve canal.",tympanic,facial nerve,structural connectivity,0.9926978945732117,http://www.ncbi.nlm.nih.gov/pubmed/PMC10798166
PMC10798166,"In our case, we hypothesize that the anomalous middle meningeal vein leads to congestion of the plexus surrounding the tympanic segment of the facial nerve.",tympanic,facial nerve,structural connectivity,0.9964581727981567,http://www.ncbi.nlm.nih.gov/pubmed/PMC10798166
38274886,The R1 and R2 pathways in the blink reflex run from the trigeminal nerve (the fifth cranial nerve) through the trigeminal sensory nucleus and the facial nucleus to the facial nerve (the seventh cranial nerve).,trigeminal nerve,facial nerve,anatomical connectivity,0.9225836992263794,http://www.ncbi.nlm.nih.gov/pubmed/38274886
PMC10811179,"This is because the diaphragm is supplied by the phrenic nerve, which is closely connected with the vagus nerve, the longest nerve in the body that controls many functions in the body (12).",phrenic nerve,vagus nerve,anatomical connectivity,0.9395607709884644,http://www.ncbi.nlm.nih.gov/pubmed/PMC10811179
38248439,"Some gut microbes directly affect vagal nerve signaling, which stimulates the dorsal motor nucleus of the vagus (DMV) [140].",vagal nerve,vagus,functional connectivity,0.9957253336906433,http://www.ncbi.nlm.nih.gov/pubmed/38248439
38248286,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",vagus nerve,vagus,structural connectivity,0.527517557144165,http://www.ncbi.nlm.nih.gov/pubmed/38248286
38248286,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",vagus nerve,vagus,structural connectivity,0.527517557144165,http://www.ncbi.nlm.nih.gov/pubmed/38248286
38248286,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",vagus nerve,vagus,structural connectivity,0.527517557144165,http://www.ncbi.nlm.nih.gov/pubmed/38248286
38248286,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",vagus nerve,vagus,structural connectivity,0.527517557144165,http://www.ncbi.nlm.nih.gov/pubmed/38248286
38255927,The pudendal nerve was identified as lying near the pudendal vein and artery.,pudendal nerve,pudendal,topological connectivity,0.9947004318237305,http://www.ncbi.nlm.nih.gov/pubmed/38255927
38255927,"We described the surgical access to safely target the main sacral spinal nerve from which the pudendal nerve originates, confirming through electrical stimulation the presence of fibers innervating the external urethral sphincter.",sacral spinal nerve,pudendal nerve,anatomical connectivity,0.5206823348999023,http://www.ncbi.nlm.nih.gov/pubmed/38255927
38278799,"According to Braak’s hypothesis, there is growing evidence demonstrating that the vagus nerve is a conduit for the spread of PD pathology from the periphery to the dorsal motor nucleus of the vagus in the brainstem [11].",vagus nerve,vagus,anatomical connectivity,0.9884839057922363,http://www.ncbi.nlm.nih.gov/pubmed/38278799
38256389,"The mechanism of these headaches is considered to be irritation of the trigeminal nerve via the sphenopalatine or nasociliary nerves, which innervate the sphenoid sinus [20].",trigeminal nerve,nasociliary,anatomical connectivity,0.7900580167770386,http://www.ncbi.nlm.nih.gov/pubmed/38256389
38302773,"The three branches of the trigeminal nerve that converge on the Gasserian ganglion are the ophthalmic, maxillary, and mandibular branches.",trigeminal nerve,Gasserian ganglion,structural connectivity,0.9913068413734436,http://www.ncbi.nlm.nih.gov/pubmed/38302773
PMC10834786,"The vagus nerve is an essential component of the parasympathetic nervous system, with its ascending fibers terminating in four nuclei in the dorsal medulla: the dorsal motor nucleus of the vagus (DMV), solitary nucleus (NTS), trigeminal spinal nucleus, and ambiguous nucleus.",vagus nerve,vagus,anatomical connectivity,0.8571560382843018,http://www.ncbi.nlm.nih.gov/pubmed/PMC10834786
38311753,"The external laryngeal nerve, which measures on average 6 cm, branches off from the superior laryngeal nerve 2-3 mm behind the greater horn of the hyoid bone.",laryngeal nerve,superior laryngeal nerve,structural connectivity,0.9986798167228699,http://www.ncbi.nlm.nih.gov/pubmed/38311753
38311753,The external laryngeal nerve may originate directly from the VN in a single trunk and independently of the superior laryngeal nerve in 5% of cases [25–27].,laryngeal nerve,superior laryngeal nerve,topological connectivity,0.9095353484153748,http://www.ncbi.nlm.nih.gov/pubmed/38311753
38336679,"The vagus nerve is the tenth cranial nerve and contains mixed afferent (sensory), efferent (motor), and parasympathetic nerve fibers that innervate several major organs, including the liver, lungs, spleen, kidneys, and gut.",vagus nerve,tenth cranial nerve,structural connectivity,0.9395779967308044,http://www.ncbi.nlm.nih.gov/pubmed/38336679
38247408,"Specifically, cholinergic neurons in the nucleus ambiguus and brainstem dorsal motor nucleus of the vagus project to the heart, liver, and other body organs within efferent vagus nerve fibers.",vagus,vagus nerve,anatomical connectivity,0.9975216388702393,http://www.ncbi.nlm.nih.gov/pubmed/38247408
