pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
38362459,"Given that the posterior tibial nerve originates from lumbar and sacral nerve ventral branches, a similar response as seen with SNS is anticipated (83).",tibial nerve,sacral nerve,structural connectivity,0.9966863989830017,http://www.ncbi.nlm.nih.gov/pubmed/38362459
PMC10870940,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,tympanic,facial nerve,structural connectivity,0.9964602589607239,http://www.ncbi.nlm.nih.gov/pubmed/PMC10870940
PMC10870940,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,tympanic,facial nerve,structural connectivity,0.9964602589607239,http://www.ncbi.nlm.nih.gov/pubmed/PMC10870940
PMC10870940,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,tympanic,facial nerve,structural connectivity,0.9964602589607239,http://www.ncbi.nlm.nih.gov/pubmed/PMC10870940
PMC10870940,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,tympanic,facial nerve,structural connectivity,0.9964602589607239,http://www.ncbi.nlm.nih.gov/pubmed/PMC10870940
PMC10870940,The mass was medially in contact with the tympanic segment of the facial nerve canal and laterally with the malleus (Figure 1).,tympanic,facial nerve,structural connectivity,0.9914215207099915,http://www.ncbi.nlm.nih.gov/pubmed/PMC10870940
38379760,The facial nerve was identified emanating from the stylomastoid foramen and followed anteriorly as it coursed over the lateral surface of the tympanic bulla toward the parotid gland.,facial nerve,tympanic,topological connectivity,0.9934849739074707,http://www.ncbi.nlm.nih.gov/pubmed/38379760
38390594,"Moreover, the efferent pathways of the vagus nerve have a profound anti-inflammatory effect, mediated by vagus nerve-mediated cholinergic signaling (103, 104).",vagus nerve,vagus,functional connectivity,0.9921638369560242,http://www.ncbi.nlm.nih.gov/pubmed/38390594
38377729,"15, 19 The chorda tympani nerve arises from the most distal mastoid segment and crosses the tympanic cavity to join the lingual nerve, providing taste function to the anterior two-thirds of the tongue, in addition to carrying parasympathetic fibers to the submandibular and sublingual glands.",chorda tympani nerve,tympanic,topological connectivity,0.9943315386772156,http://www.ncbi.nlm.nih.gov/pubmed/38377729
38377729,"15, 19 The chorda tympani nerve arises from the most distal mastoid segment and crosses the tympanic cavity to join the lingual nerve, providing taste function to the anterior two-thirds of the tongue, in addition to carrying parasympathetic fibers to the submandibular and sublingual glands.",chorda tympani nerve,lingual nerve,topological connectivity,0.778026282787323,http://www.ncbi.nlm.nih.gov/pubmed/38377729
38377729,"Figure 3The tympanic or horizontal segment is the second segment of the facial nerve, with an average of 7 mm in length, and is located between the first and second genu.",tympanic,facial nerve,structural connectivity,0.8606650829315186,http://www.ncbi.nlm.nih.gov/pubmed/38377729
38392336,"The recurrent laryngeal nerve, another division of the vagus nerve, provides motor innervation to the remaining intrinsic laryngeal muscles, excluding the cricothyroid muscle, and sensory innervation to the upper trachea and lower glottis [5].",recurrent laryngeal nerve,vagus nerve,structural connectivity,0.9986858367919922,http://www.ncbi.nlm.nih.gov/pubmed/38392336
PMC10886922,"Is the lingual nerve, which originates from the third branch of the trigeminal nerve and is above a “certain size”, a “name nerve” or not?",lingual nerve,trigeminal nerve,structural connectivity,0.9843059778213501,http://www.ncbi.nlm.nih.gov/pubmed/PMC10886922
PMC10900670,"Notably, the ophthalmic branch of the trigeminal nerve, specifically the nasociliary nerve, covers the nasal mucosa, including the olfactory epithelium area.",trigeminal nerve,nasociliary nerve,structural connectivity,0.8690426349639893,http://www.ncbi.nlm.nih.gov/pubmed/PMC10900670
38426205,"GLP-2R is also expressed in the nodose ganglia of vagus nerve (Nelson et al., 2007; Amato et al., 2016), which contains the cell bodies of vagal afferent nerve fibers.",nodose ganglia,vagus nerve,anatomical connectivity,0.472838431596756,http://www.ncbi.nlm.nih.gov/pubmed/38426205
PMC10905387,"Note, however, that the lingual nerve is not exclusively composed of PSNs but also contains parasympathetic fibers from the facial nerve (226), introducing a potential bias in the interpretation of these results.",lingual nerve,facial nerve,anatomical connectivity,0.9984532594680786,http://www.ncbi.nlm.nih.gov/pubmed/PMC10905387
PMC10914918,"The foramen and canal have a large diameter (Fig. 11B), so that we do not think that this canal could be for the chorda tympani ramus of the hyomandibular nerve, which may be expected to take such a course given it is a branch of the hyomandibular ramus of the facial nerve innervating the mandible.",chorda tympani,facial nerve,structural connectivity,0.6662059426307678,http://www.ncbi.nlm.nih.gov/pubmed/PMC10914918
38444051,"The superior laryngeal nerve (SLN) primarily provides sensory innervation of the larynx above the vocal cords and is part of the vagus nerve (Hishida et al., 1997; Yoshida et al., 2000).",superior laryngeal nerve,vagus nerve,structural connectivity,0.49454575777053833,http://www.ncbi.nlm.nih.gov/pubmed/38444051
38346902,"Taste buds of the anterior and posterior tongue are innervated by the chorda tympani (CT) branch of CN VII and the glossopharyngeal nerve (GL), respectively.",chorda tympani,glossopharyngeal nerve,structural connectivity,0.8856437802314758,http://www.ncbi.nlm.nih.gov/pubmed/38346902
38384125,"A neurotrophic ulcer usually develops because of injury to the long ciliary nerves that originate from the nasociliary nerve, a branch of the trigeminal nerve.",nasociliary nerve,trigeminal nerve,structural connectivity,0.9984729290008545,http://www.ncbi.nlm.nih.gov/pubmed/38384125
38420585,"Cardiovagal neurons (CVNs) send axonal projections from hindbrain to cardiac ganglia through the vagus nerve to elicit cardioinhibitory (i.e., slowing of heart rate; HR) action at rest and during critical cardiorespiratory homeostatic reflexes.",cardiac ganglia,vagus nerve,anatomical connectivity,0.9976673722267151,http://www.ncbi.nlm.nih.gov/pubmed/38420585
