pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
38104122,The NeuroRing was implanted by wrapping it around the splanchnic nerve extending from the S3 sacral nerve and secured using biological glue.,splanchnic nerve,sacral nerve,structural connectivity,0.9824106097221375,http://www.ncbi.nlm.nih.gov/pubmed/38104122
38104122,Implantation of the NeuroRing to rat splanchnic nerve extending from the S3 sacral nerve to treat colitis.,splanchnic nerve,sacral nerve,structural connectivity,0.5622089505195618,http://www.ncbi.nlm.nih.gov/pubmed/38104122
38104122,"Again, this verified that NeuroRing stimulation of the sacral nerve also activated specific pathways of spinal cord afferent and vagus nerve efferents, synergistically enhancing the anti-inflammatory effect.",sacral nerve,vagus nerve,functional connectivity,0.7998263239860535,http://www.ncbi.nlm.nih.gov/pubmed/38104122
38111650,"Under the microscope, the carotid sheath was founded along the side of the trachea, then the vagal nerve was gently peeled off, and the vagal ganglion was separated upward along the vagal nerve and placed in 10% neutral formaldehyde for external fixation (Jingxinbio, China, JX0300).",vagal ganglion,vagal nerve,topological connectivity,0.9854741096496582,http://www.ncbi.nlm.nih.gov/pubmed/38111650
PMC10741888,"The infraorbital nerve is a branch of the second division of the trigeminal nerve, also known as the maxillary nerve.",trigeminal nerve,maxillary nerve,structural connectivity,0.99312824010849,http://www.ncbi.nlm.nih.gov/pubmed/PMC10741888
38152300,"Here, the pudendal nerve is accompanied by pudendal blood vessels and splits into three branches.",pudendal nerve,pudendal,anatomical connectivity,0.9776974320411682,http://www.ncbi.nlm.nih.gov/pubmed/38152300
PMC10757753,"The R2 response is a pathway from the spinal tract nucleus of the trigeminal nerve to the ipsilateral and contralateral facial nerve nuclei, including the pons and lateral medulla.",trigeminal nerve,facial nerve,anatomical connectivity,0.710411787033081,http://www.ncbi.nlm.nih.gov/pubmed/PMC10757753
PMC10757753,Tears are secreted by the lacrimal gland after lacrimal nerve stimulation connected to the facial nerve.,lacrimal nerve,facial nerve,anatomical connectivity,0.9764203429222107,http://www.ncbi.nlm.nih.gov/pubmed/PMC10757753
38173950,The mastoid segment and tympanic segment of the facial nerve were identified and preserved physiologically on nerve stimulation.,tympanic,facial nerve,structural connectivity,0.6380340456962585,http://www.ncbi.nlm.nih.gov/pubmed/38173950
38200782,"Vasodilation can be due to fear-induced activation of the parasympathetic nervous system, in this case by the facial nerve (VII pair) through the pterygopalatine ganglion and the subsequent postganglionic fibers [51].",facial nerve,pterygopalatine ganglion,anatomical connectivity,0.7327711582183838,http://www.ncbi.nlm.nih.gov/pubmed/38200782
38200796,The vagus nerve reaches the nodose ganglion (1) and from there projects into the lateral solitary nucleus (Deiters’ nucleus).,vagus nerve,nodose ganglion,topological connectivity,0.908019483089447,http://www.ncbi.nlm.nih.gov/pubmed/38200796
38200796,"Sensations associated with the head, such as increased temperature or pain, pass through the trigeminal, facial, glossopharyngeal or vagus nerve to the spinal nucleus of the trigeminal nerve.",vagus nerve,trigeminal nerve,anatomical connectivity,0.9904492497444153,http://www.ncbi.nlm.nih.gov/pubmed/38200796
38079433,The superior laryngeal nerve originates from the inferior ganglion of the vagus nerve on both sides of the neck and is divided into medial and lateral branches.,superior laryngeal nerve,vagus nerve,structural connectivity,0.9989691376686096,http://www.ncbi.nlm.nih.gov/pubmed/38079433
32522157,"However, electrical stimulation of a sub-branch of the trigeminal nerve (the nasociliary nerve, which contains ethmoidal nerve) reportedly increased regional cortical blood flow in anesthetized rats [39].",trigeminal nerve,nasociliary nerve,structural connectivity,0.9979339838027954,http://www.ncbi.nlm.nih.gov/pubmed/32522157
38087375,"When the ANS is stimulated, as in TNS, impulses from the splanchnic and vagus nerves converge in the coeliac ganglion, activating the splenic nerve.",vagus,coeliac ganglion,anatomical connectivity,0.9920356869697571,http://www.ncbi.nlm.nih.gov/pubmed/38087375
32513097,a Exposing the facial nerve and the stylomastoid foramen. b Running of the facial nerve through the tympanic cavity.,facial nerve,tympanic,topological connectivity,0.4916509985923767,http://www.ncbi.nlm.nih.gov/pubmed/32513097
38111511,"1 The vocal cords are innervated by motor fibers in the vagal nerve, which eventually branches into the recurrent nerve.",vagal nerve,recurrent nerve,structural connectivity,0.8447025418281555,http://www.ncbi.nlm.nih.gov/pubmed/38111511
38168262,"Cardiovagal axons project through the vagus nerve to synapse on postganglionic parasympathetic neurons in cardiac ganglia (Cheng and Powley, 2000; Cheng et al., 1999).",vagus nerve,cardiac ganglia,anatomical connectivity,0.6828567385673523,http://www.ncbi.nlm.nih.gov/pubmed/38168262
37871904,"Cryotherapy selectively targets the postganglionic parasympathetic fibers of the Vidian nerve through the posterior nasal nerve, avoiding complications such as dry eye typically associated with Vidian neurectomy [29].",Vidian nerve,nasal nerve,anatomical connectivity,0.5081440806388855,http://www.ncbi.nlm.nih.gov/pubmed/37871904
37696755,"The carotid sinus nerve (CSN) originates from the glossopharyngeal nerve and carries afferent fibers from baroreceptors in the carotid sinus to the nucleus tractus solitarius in the brain stem [1, 2] as well as chemoreceptors from the carotid body for regulation of the respiratory rate [2, 3].",carotid sinus nerve,glossopharyngeal nerve,structural connectivity,0.9947665929794312,http://www.ncbi.nlm.nih.gov/pubmed/37696755
