o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;lateral gray column of spinal cord
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;intermediate grey column of spinal cord
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;intermediate gray column of spinal cord
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;cornu laterale medullae spinalis
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;columna grisea intermedia medullare spinalis
http://purl.obolibrary.org/obo/UBERON_0004676;spinal cord lateral horn;spinal cord lateral horn
http://purl.obolibrary.org/obo/UBERON_0004679;dentate gyrus molecular layer;stratum moleculare gyri dentati
http://purl.obolibrary.org/obo/UBERON_0004679;dentate gyrus molecular layer;molecular layer of the dentate gyrus
http://purl.obolibrary.org/obo/UBERON_0004679;dentate gyrus molecular layer;molecular layer of dentate gyrus
http://purl.obolibrary.org/obo/UBERON_0004679;dentate gyrus molecular layer;dentate gyrus molecular layer
http://purl.obolibrary.org/obo/UBERON_0004917;urethral sphincter;urethral sphincter muscle
http://purl.obolibrary.org/obo/UBERON_0004917;urethral sphincter;sphincter urethrae
http://purl.obolibrary.org/obo/UBERON_0004917;urethral sphincter;sphincter of urethra
http://purl.obolibrary.org/obo/UBERON_0004917;urethral sphincter;sphincter muscle of urethra
http://purl.obolibrary.org/obo/UBERON_0005303;hypogastric nerve;nervus hypogastricus
http://purl.obolibrary.org/obo/UBERON_0005303;hypogastric nerve;hypogastric plexus
http://purl.obolibrary.org/obo/UBERON_0005303;hypogastric nerve;hypogastric nerve plexus
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;petrous ganglion
