id,parent_comment_id,comment,comment_sender_name,statement_id,reg_time,batch_name
19,0,Visualizing the autonomic and somatic innervation of the female pelvis with 3D MR neurography: a feasibility study.  Don't know if we can extract some human anatomy of this region to supplement Keast. ,Maryann Martone,1556,2022-08-16 22:49:55,pmc_oai_202111
20,0,Anatomy of the human innervation of the bladder.  Would be good to compare against Keast.,Maryann Martone,1558,2022-08-16 22:56:31,pmc_oai_202111
22,0,This is a better reference:  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6624329/,Maryann Martone,1564,2022-08-16 23:14:47,pmc_oai_202111
24,0,Only have the lacrimal gland via the greater petrosal nerve.,Maryann Martone,1570,2022-08-16 23:17:50,pmc_oai_202111
226,0,"After iDISCO clearance with the immunohistochemical enhancement of viral GFP and TH, much more details became visible with classical and light sheet confocal microscopy (Figs. ​(Figs.22 and 3). Specifically, there was strong labeling not only in the caudal portion of the stellate ganglion, but also in the thoracic chain ganglia from T1 (typically fused to the stellate ganglion) to T5, and in some cases scattered labeling up to T7. Labeling was limited to the ipsilateral side of the injection, even though we observed rare cases of bilateral labeling, likely due to accidental injection into the adjacent and merged left iBAT section. Labeling in the T5 to T7 ganglia became increasingly sparse.",Maryann Martone,1599,2022-08-23 10:22:33,pmc_oai_202111
432,0,"""The unique parasympathetic contents in the nasocilliary nerve seemed to supply the forehead sweat glands as well as glands in the eyelid and nasal epithelium.""",Maryann Martone,1576,2022-10-20 11:39:02,pmc_oai_202111
433,0,"Also for the ASCT tables, is NOS a biomarker for parasympathetic nerves?",Maryann Martone,1576,2022-10-20 11:43:03,pmc_oai_202111
434,0,[SAWG] regarding biomarker question,Maryann Martone,1576,2022-10-20 11:43:23,pmc_oai_202111
435,0,Ask [SAWG] whether this is relevant.  Does carry sympathetic fibers.  ,Maryann Martone,1578,2022-10-20 11:45:15,pmc_oai_202111
437,0,"Detailed anatomy of the external carotid plexus.  Once we get the new populations into Stardog, would be good to review the anatomy of this article and compare to what we have.  ",Maryann Martone,1586,2022-10-20 11:54:16,pmc_oai_202111
440,0,[Molecular],Maryann Martone,1622,2022-11-18 08:53:49,pmc_oai_202111
443,0,[Clinical] Has anatomy but I think this will already be covered.  But marking just in case.,Maryann Martone,1636,2022-11-19 17:05:42,pmc_oai_202111
445,0,Inflammatory reflex arc.  Seems like it is worth reading.,Maryann Martone,1641,2022-11-19 17:12:47,pmc_oai_202111
446,0,Good reference but not for curation.  For me to read.,Maryann Martone,1642,2022-11-19 17:14:28,pmc_oai_202111
447,0,"The greater, lesser, and least splanchnic nerves carry sympathetic pain innervation to the upper abdominal viscera, including the pancreas, from the 5th to 8th, 9th to 10th, and 11th thoracic ganglia, respectively [5]. Visceral pain arises from the stimulation of a celiac ganglion, which then sends a signal to the splanchnic nerves [6]. ",Maryann Martone,1653,2022-11-19 17:37:08,pmc_oai_202111
448,0,We have T5-9;  this mentions 10 -11 although it may be from other organs  for neuron panic 1.  Needs to be tracked down.,Maryann Martone,1653,2022-11-19 17:46:24,pmc_oai_202111
449,0,Primary reference:  https://pubmed.ncbi.nlm.nih.gov/11527937/,Maryann Martone,1660,2022-11-19 18:00:37,pmc_oai_202111
450,0,SCG to cornea via sympathetic nerve,Maryann Martone,1660,2022-11-19 18:01:18,pmc_oai_202111
463,0,We don't have this connection.  This is not the right paper but we should track this down.,Maryann Martone,1706,2022-12-06 11:46:44,pmc_oai_202111
467,0,"""We conclude that the left phrenic nerve in humans contributes to the innervation of the esophagogastric junction by providing ancillary autonomic nerve fibers. Experimental studies of the innervation in pigs should consider that neither of the phrenic nerves was found to contribute. """,Maryann Martone,1745,2022-12-06 12:00:34,pmc_oai_202111
468,0,We do not have this connection.  This paper is a good starting place. ,Maryann Martone,1745,2022-12-06 12:00:55,pmc_oai_202111
473,0,[Vagus]  Not a primary article but provides some detailed vagus anatomy that should be accounted for in our models.,Maryann Martone,1777,2022-12-06 13:13:55,pmc_oai_202111
474,0,"""The diaphragm muscle is innervated by the phrenic nerve (C3-C5) and the vagus nerve (cranial nerve X); the first receives pulses from groups of medullary neurons of the pre-Bötzinger complex and from neurons of the parafacial retrotrapezoid complex, connected in turn with the retroambiguus nucleus of medulla, although the underlying mechanisms of these connections are not completely clear. The vagus nerve is part of the parasympathetic autonomic system originating from the ambiguus nucleus of the medulla [8-9].""",Maryann Martone,1778,2022-12-06 13:18:07,pmc_oai_202111
475,0,We do not have the vagus to the diaphragm.  [Vagus] as per the statement below.,Maryann Martone,1778,2022-12-06 13:18:41,pmc_oai_202111
482,0,Nice figure of brainstem circuitry.  Take a look at this primary reference:  https://pubmed.ncbi.nlm.nih.gov/12866127/,Maryann Martone,1811,2022-12-08 10:45:01,pmc_oai_202111
489,0,Has the spinal cord segments that project to the SCG and then to the pupil.  ,Maryann Martone,1886,2022-12-10 15:01:00,pmc_oai_202111
490,0,[Sensory] but some autonomic information in an experimental study in the rat. ,Maryann Martone,1914,2022-12-10 21:08:44,pmc_oai_202111
